system_id,molecule,name,metal,facet,group,ref_INT,ref_dint,gallery_cif,dft_Eads_eV,dft_dMX_ang,dft_MX_pair,dft_dint_ang,notes
CH3O_Cu111_fcc,CH3O,methoxy,Cu,111,existing,C-O,1.42,,,,,,
CH3OH_Cu111_top,CH3OH,methanol,Cu,111,existing,C-O,1.43,,,,,,
CO_Cu111_atop,CO,CO,Cu,111,existing,C-O,1.15,,,,,,
CO2_Cu111_top,CO2,CO2,Cu,111,existing,C-O,1.16,,,,,,
HCOOH_Cu111_top,HCOOH,formic_acid,Cu,111,existing,,,,,,,,
C2H2_Pd111_bri,C2H2,acetylene,Pd,111,existing,C-C,1.32,,,,,,
CO_Pd111_fcc,CO,CO,Pd,111,existing,C-O,1.17,,,,,,
C2H4_Pt111_bri,C2H4,ethylene,Pt,111,existing,C-C,1.49,,,,,,
C2H6_Pt111_top,C2H6,ethane,Pt,111,existing,C-C,1.53,,,,,,
CH3_Pt111_top,CH3,methyl,Pt,111,existing,C-H,1.09,,,,,,
C2H5OH_Pt111_top,CH3CH2OH,ethanol,Pt,111,existing,C-O,1.43,,,,,,
CH3CHO_Pt111_top,CH3CHO,acetaldehyde,Pt,111,existing,C-O,1.22,,,,,,
CH3COOH_Pt111_top,CH3COOH,acetic_acid,Pt,111,existing,C-C,1.5,,,,,,
DME_Pt111_top,CH3OCH3,DME,Pt,111,existing,C-O,1.41,,,,,,
CH4_Pt111_top,CH4,methane,Pt,111,existing,C-H,1.09,,,,,,
CO_Pt111_atop,CO,CO,Pt,111,existing,C-O,1.15,,,,,,
CO_Pt111_fcc,CO,CO,Pt,111,existing,C-O,1.16,,,,,,
H_Pt111_fcc,H,atomicH,Pt,111,existing,,,,,,,,
H2CO_Pt111_top,H2CO,formaldehyde,Pt,111,existing,C-O,1.21,,,,,,
H2O_Pt111_top,H2O,water,Pt,111,existing,,,,,,,,
H2S_Pt111_top,H2S,H2S,Pt,111,existing,S-H,1.34,,,,,,
HCN_Pt111_top,HCN,HCN,Pt,111,existing,C-N,1.16,,,,,,
N2_Pt111_top,N2,N2,Pt,111,existing,N-N,1.1,,,,,,
NH3_Pt111_top,NH3,ammonia,Pt,111,existing,,,,,,,,
NO_Pt111_fcc,NO,NO,Pt,111,existing,N-O,1.18,,,,,,
O_Pt111_fcc,O,atomicO,Pt,111,existing,,,,,,,,
OH_Pt111_top,OH,hydroxyl,Pt,111,existing,O-H,0.97,,,,,,
SO2_Pt111_top,SO2,SO2,Pt,111,existing,S-O,1.44,,,,,,
C2H2_Ag100,C2H2,acetylene,Ag,100,new,C-C,1.32,,,,,,
C2H4_Ag100,C2H4,ethylene,Ag,100,new,C-C,1.49,Ag100_ethylene.cif,,,,,
C2H6_Ag100,C2H6,ethane,Ag,100,new,C-C,1.53,Ag100_ethane.cif,,,,,
CH3_Ag100,CH3,methyl,Ag,100,new,C-H,1.09,Ag100_CH3.cif,,,,,
CH3CH2OH_Ag100,CH3CH2OH,ethanol,Ag,100,new,C-O,1.43,Ag100_ethanol.cif,,,,,
CH3CHO_Ag100,CH3CHO,acetaldehyde,Ag,100,new,C-O,1.22,Ag100_acetaldehyde.cif,,,,,
CH3COOH_Ag100,CH3COOH,acetic_acid,Ag,100,new,C-C,1.5,Ag100_acetic_acid.cif,,,,,
CH3O_Ag100,CH3O,methoxy,Ag,100,new,C-O,1.42,,,,,,
CH3OCH3_Ag100,CH3OCH3,DME,Ag,100,new,C-O,1.41,Ag100_DME.cif,,,,,
CH3OH_Ag100,CH3OH,methanol,Ag,100,new,C-O,1.43,Ag100_methanol.cif,,,,,
