surface,molecule,mlip_min_dist,mlip_pair,mlip_anchor,mlip_site,mlip_ncoord,cif
Cu100,CO2,3.563,Cu-O,O66,atop,1,Cu100_CO2.cif
Cu100,ethane,3.063,Cu-H,H67,hollow,4,Cu100_ethane.cif
Cu100,ethanol,2.207,Cu-O,O66,atop,1,Cu100_ethanol.cif
Cu100,ethene,2.875,Cu-C,C64,atop,1,Cu100_ethene.cif
Cu100,glycerol,2.161,Cu-O,O69,atop,1,Cu100_glycerol.cif
Cu100,isopropanol,2.177,Cu-O,O67,atop,1,Cu100_isopropanol.cif
Cu100,propane,2.903,Cu-H,H71,hollow,4,Cu100_propane.cif
Cu100,propanol,2.22,Cu-O,O67,atop,1,Cu100_propanol.cif
Cu100,propene,3.009,Cu-H,H71,bridge,2,Cu100_propene.cif
Cu110,CO2,3.569,Cu-O,O26,atop,1,Cu110_CO2.cif
Cu111,ethane,3.056,Cu-H,H68,hollow,3,Cu111_ethane.cif
Cu111,ethene,3.429,Cu-H,H68,hollow,3,Cu111_ethene.cif
Cu111,glycerol,2.77,Cu-H,H77,bridge,2,Cu111_glycerol.cif
Cu111,isopropanol,2.533,Cu-O,O67,atop,1,Cu111_isopropanol.cif
Cu111,propane,2.913,Cu-H,H70,hollow,3,Cu111_propane.cif
Cu111,propanol,2.398,Cu-O,O67,atop,1,Cu111_propanol.cif
Cu111,propene,3.321,Cu-H,H71,hollow,3,Cu111_propene.cif
Pd100,CO2,3.267,Pd-O,O66,atop,1,Pd100_CO2.cif
Pd100,ethane,2.271,Pd-H,H68,atop,1,Pd100_ethane.cif
Pd100,ethanol,2.24,Pd-O,O66,atop,1,Pd100_ethanol.cif
Pd100,ethene,2.078,Pd-C,C65,atop,1,Pd100_ethene.cif
Pd100,glycerol,2.291,Pd-O,O67,atop,1,Pd100_glycerol.cif
Pd100,isopropanol,2.262,Pd-O,O67,atop,1,Pd100_isopropanol.cif
Pd100,propane,2.085,Pd-H,H74,atop,1,Pd100_propane.cif
Pd100,propanol,2.261,Pd-O,O67,atop,1,Pd100_propanol.cif
Pd100,propene,2.075,Pd-C,C65,atop,1,Pd100_propene.cif
Pd111,CO2,3.341,Pd-O,O66,hollow,3,Pd111_CO2.cif
Pd111,ethane,2.362,Pd-H,H69,atop,1,Pd111_ethane.cif
Pd111,ethanol,2.272,Pd-O,O66,atop,1,Pd111_ethanol.cif
Pd111,ethene,2.142,Pd-C,C64,atop,1,Pd111_ethene.cif
Pd111,glycerol,2.279,Pd-O,O69,atop,1,Pd111_glycerol.cif
Pd111,isopropanol,2.276,Pd-O,O67,atop,1,Pd111_isopropanol.cif
Pd111,propane,2.297,Pd-H,H73,atop,1,Pd111_propane.cif
Pd111,propanol,2.268,Pd-O,O67,atop,1,Pd111_propanol.cif
Pd111,propene,2.167,Pd-C,C66,atop,1,Pd111_propene.cif
Pt111,CO2,3.481,Pt-O,O66,hollow,3,Pt111_CO2.cif
Pt111,ethane,2.608,Pt-H,H71,bridge,2,Pt111_ethane.cif
Pt111,ethanol,2.273,Pt-O,O66,atop,1,Pt111_ethanol.cif
Pt111,ethene,2.163,Pt-C,C65,atop,1,Pt111_ethene.cif
Pt111,glycerol,2.348,Pt-O,O67,atop,1,Pt111_glycerol.cif
Pt111,isopropanol,1.797,Pt-H,H71,atop,1,Pt111_isopropanol.cif
Pt111,propane,2.803,Pt-H,H74,hollow,3,Pt111_propane.cif
Pt111,propanol,2.306,Pt-O,O67,atop,1,Pt111_propanol.cif
Pt111,propene,2.067,Pt-C,C66,atop,1,Pt111_propene.cif
