system,surface,molecule,E_slab_mol,E_slab,E_mol,E_ads,status,note
Cu001_CO2,Cu001,CO2,-214.06549698,-193.01178574,-22.27269325,1.218982009999987,ok,
Cu001_ethane,Cu001,ethane,-232.05190439,-193.01178574,-40.26480271,1.224684059999987,ok,
Cu001_ethanol,Cu001,ethanol,-238.1514741,-193.01178574,-46.33222241,1.192534049999992,ok,
Cu001_ethene,Cu001,ethene,-223.43279915,-193.01178574,-31.66817676,1.247163350000001,ok,
Cu001_glycerol,Cu001,glycerol,-266.62688609,-193.01178574,-74.80566628,1.1905659299999627,ok,
Cu001_isopropanol,Cu001,isopropanol,-254.54106717,-193.01178574,-62.72253435,1.193252919999999,ok,
Cu001_propane,Cu001,propane,-248.33197001,-193.01178574,-56.54101126,1.220826989999999,ok,
Cu001_propanol,Cu001,propanol,-254.40711685,-193.01178574,-62.58875972,1.193428609999998,ok,
Cu001_propene,Cu001,propene,-239.90773875,-193.01178574,-48.11109027,1.2151372599999988,ok,
Cu110_CO2,Cu110,CO2,-205.65102242,-184.14260123,-22.27269325,0.7642720599999926,ok,
Cu110_ethane,Cu110,ethane,-223.6234685,-184.14260123,-40.26480271,0.7839354399999934,ok,
Cu110_ethanol,Cu110,ethanol,-229.84680199,-184.14260123,-46.33222241,0.628021650000008,ok,
Cu110_ethene,Cu110,ethene,-215.17980423,-184.14260123,-31.66817676,0.6309737599999963,ok,
Cu110_glycerol,Cu110,glycerol,-258.47047446,-184.14260123,-74.80566628,0.4777930500000025,ok,
Cu110_isopropanol,Cu110,isopropanol,-246.22158436,-184.14260123,-62.72253435,0.6435512199999849,ok,
Cu110_propane,Cu110,propane,-239.90306956,-184.14260123,-56.54101126,0.7805429299999886,ok,
Cu110_propanol,Cu110,propanol,-246.12491316,-184.14260123,-62.58875972,0.60644778999999,ok,
Cu110_propene,Cu110,propene,-231.50221215,-184.14260123,-48.11109027,0.7514793500000039,ok,
Cu111_CO2,Cu111,CO2,-217.67070029,-196.66575246,-22.27269325,1.2677454199999794,ok,
Cu111_ethane,Cu111,ethane,-235.6662823,-196.66575246,-40.26480271,1.264272869999985,ok,
Cu111_ethanol,Cu111,ethanol,-241.73015111,-196.66575246,-46.33222241,1.2678237599999846,ok,
Cu111_ethene,Cu111,ethene,-227.02875088,-196.66575246,-31.66817676,1.3051783400000048,ok,
Cu111_glycerol,Cu111,glycerol,-270.34108776,-196.66575246,-74.80566628,1.1303309799999965,ok,
Cu111_isopropanol,Cu111,isopropanol,-258.12951507,-196.66575246,-62.72253435,1.2587717399999647,ok,
Cu111_propane,Cu111,propane,-251.9125348,-196.66575246,-56.54101126,1.2942289199999877,ok,
Cu111_propanol,Cu111,propanol,-257.98158106,-196.66575246,-62.58875972,1.2729311199999955,ok,
Cu111_propene,Cu111,propene,-243.47459792,-196.66575246,-48.11109027,1.3022448099999835,ok,
Pd100_CO2,Pd100,CO2,-298.88592609,-277.06978333,-22.27269325,0.4565504900000086,ok,
Pd100_ethane,Pd100,ethane,-316.80797697,-277.06978333,-40.26480271,0.5266090699999779,ok,
Pd100_ethanol,Pd100,ethanol,-323.00476471,-277.06978333,-46.33222241,0.39724102999998934,ok,
Pd100_ethene,Pd100,ethene,-308.78095977,-277.06978333,-31.66817676,-0.042999679999972784,ok,
Pd100_glycerol,Pd100,glycerol,-351.51838381,-277.06978333,-74.80566628,0.3570658000000151,ok,
Pd100_isopropanol,Pd100,isopropanol,-339.35464519,-277.06978333,-62.72253435,0.4376724900000184,ok,
Pd100_propane,Pd100,propane,-333.11501065,-277.06978333,-56.54101126,0.4957839400000168,ok,
Pd100_propanol,Pd100,propanol,-339.26249398,-277.06978333,-62.58875972,0.3960490700000179,ok,
Pd100_propene,Pd100,propene,-325.11234197,-277.06978333,-48.11109027,0.06853163000001672,ok,
Pd110_CO2,Pd110,CO2,-289.00482077,-266.81450344,-22.27269325,0.08237592000002891,ok,
Pd110_ethane,Pd110,ethane,-306.88895602,-266.81450344,-40.26480271,0.19035012999998457,ok,
Pd110_ethanol,Pd110,ethanol,-313.16177147,-266.81450344,-46.33222241,-0.015045620000009308,ok,
Pd110_ethene,Pd110,ethene,-299.17523641,-266.81450344,-31.66817676,-0.6925562100000136,ok,
Pd110_glycerol,Pd110,glycerol,-341.75432703,-266.81450344,-74.80566628,-0.1341573100000062,ok,
Pd110_isopropanol,Pd110,isopropanol,-329.54223527,-266.81450344,-62.72253435,-0.005197479999985433,ok,
Pd110_propane,Pd110,propane,-323.1588343,-266.81450344,-56.54101126,0.196680399999984,ok,
Pd110_propanol,Pd110,propanol,-329.36730412,-266.81450344,-62.58875972,0.035959040000037135,ok,
Pd110_propene,Pd110,propene,-315.41993266,-266.81450344,-48.11109027,-0.494338949999964,ok,
Pd111_CO2,Pd111,CO2,-303.35223055,-280.68504082,-22.27269325,-0.3944964800000186,ok,
Pd111_ethane,Pd111,ethane,-321.34357605,-280.68504082,-40.26480271,-0.393732520000043,ok,
Pd111_ethanol,Pd111,ethanol,-327.45372558,-280.68504082,-46.33222241,-0.43646235000004197,ok,
Pd111_ethene,Pd111,ethene,-313.10524178,-280.68504082,-31.66817676,-0.7520241999999868,ok,
Pd111_glycerol,Pd111,glycerol,-355.97782063,-280.68504082,-74.80566628,-0.4871135300000162,ok,
Pd111_isopropanol,Pd111,isopropanol,-343.83839607,-280.68504082,-62.72253435,-0.4308209000000076,ok,
Pd111_propane,Pd111,propane,-337.55323352,-280.68504082,-56.54101126,-0.32718144000001104,ok,
Pd111_propanol,Pd111,propanol,-343.69247904,-280.68504082,-62.58875972,-0.41867850000004125,ok,
