system_id,molecule,name,metal,facet,group,natoms,n_fixed,gallery_cif,poscar
C2H4_Ag100,C2H4,ethylene,Ag,100,new,42,18,Ag100_ethylene.cif,dft_jobs/C2H4_Ag100/POSCAR
C2H6_Ag100,C2H6,ethane,Ag,100,new,72,32,Ag100_ethane.cif,dft_jobs/C2H6_Ag100/POSCAR
CH3_Ag100,CH3,methyl,Ag,100,new,40,18,Ag100_CH3.cif,dft_jobs/CH3_Ag100/POSCAR
CH3CH2OH_Ag100,CH3CH2OH,ethanol,Ag,100,new,73,32,Ag100_ethanol.cif,dft_jobs/CH3CH2OH_Ag100/POSCAR
CH3CHO_Ag100,CH3CHO,acetaldehyde,Ag,100,new,43,18,Ag100_acetaldehyde.cif,dft_jobs/CH3CHO_Ag100/POSCAR
CH3COOH_Ag100,CH3COOH,acetic_acid,Ag,100,new,44,18,Ag100_acetic_acid.cif,dft_jobs/CH3COOH_Ag100/POSCAR
CH3OCH3_Ag100,CH3OCH3,DME,Ag,100,new,45,18,Ag100_DME.cif,dft_jobs/CH3OCH3_Ag100/POSCAR
CH3OH_Ag100,CH3OH,methanol,Ag,100,new,42,18,Ag100_methanol.cif,dft_jobs/CH3OH_Ag100/POSCAR
CH4_Ag100,CH4,methane,Ag,100,new,41,18,Ag100_CH4.cif,dft_jobs/CH4_Ag100/POSCAR
CO_Ag100,CO,CO,Ag,100,new,38,18,Ag100_CO.cif,dft_jobs/CO_Ag100/POSCAR
CO2_Ag100,CO2,CO2,Ag,100,new,67,32,Ag100_CO2.cif,dft_jobs/CO2_Ag100/POSCAR
H2CO_Ag100,H2CO,formaldehyde,Ag,100,new,40,18,Ag100_formaldehyde.cif,dft_jobs/H2CO_Ag100/POSCAR
H2O_Ag100,H2O,water,Ag,100,new,39,18,Ag100_H2O.cif,dft_jobs/H2O_Ag100/POSCAR
H2S_Ag100,H2S,H2S,Ag,100,new,39,18,Ag100_H2S.cif,dft_jobs/H2S_Ag100/POSCAR
HCOOH_Ag100,HCOOH,formic_acid,Ag,100,new,41,18,Ag100_formic_acid.cif,dft_jobs/HCOOH_Ag100/POSCAR
N2_Ag100,N2,N2,Ag,100,new,38,18,Ag100_N2.cif,dft_jobs/N2_Ag100/POSCAR
NH3_Ag100,NH3,ammonia,Ag,100,new,40,18,Ag100_NH3.cif,dft_jobs/NH3_Ag100/POSCAR
NO_Ag100,NO,NO,Ag,100,new,38,18,Ag100_NO.cif,dft_jobs/NO_Ag100/POSCAR
SO2_Ag100,SO2,SO2,Ag,100,new,39,18,Ag100_SO2.cif,dft_jobs/SO2_Ag100/POSCAR
C2H4_Ag110,C2H4,ethylene,Ag,110,new,30,12,Ag110_ethylene.cif,dft_jobs/C2H4_Ag110/POSCAR
C2H6_Ag110,C2H6,ethane,Ag,110,new,32,12,Ag110_ethane.cif,dft_jobs/C2H6_Ag110/POSCAR
CH3_Ag110,CH3,methyl,Ag,110,new,28,12,Ag110_CH3.cif,dft_jobs/CH3_Ag110/POSCAR
CH3CH2OH_Ag110,CH3CH2OH,ethanol,Ag,110,new,73,32,Ag110_ethanol.cif,dft_jobs/CH3CH2OH_Ag110/POSCAR
CH3CHO_Ag110,CH3CHO,acetaldehyde,Ag,110,new,31,12,Ag110_acetaldehyde.cif,dft_jobs/CH3CHO_Ag110/POSCAR
CH3COOH_Ag110,CH3COOH,acetic_acid,Ag,110,new,32,12,Ag110_acetic_acid.cif,dft_jobs/CH3COOH_Ag110/POSCAR
CH3OCH3_Ag110,CH3OCH3,DME,Ag,110,new,33,12,Ag110_DME.cif,dft_jobs/CH3OCH3_Ag110/POSCAR
CH3OH_Ag110,CH3OH,methanol,Ag,110,new,30,12,Ag110_methanol.cif,dft_jobs/CH3OH_Ag110/POSCAR
CH4_Ag110,CH4,methane,Ag,110,new,29,12,Ag110_CH4.cif,dft_jobs/CH4_Ag110/POSCAR
CO_Ag110,CO,CO,Ag,110,new,26,12,Ag110_CO.cif,dft_jobs/CO_Ag110/POSCAR
CO2_Ag110,CO2,CO2,Ag,110,new,27,12,Ag110_CO2.cif,dft_jobs/CO2_Ag110/POSCAR
H2CO_Ag110,H2CO,formaldehyde,Ag,110,new,28,12,Ag110_formaldehyde.cif,dft_jobs/H2CO_Ag110/POSCAR
H2O_Ag110,H2O,water,Ag,110,new,27,12,Ag110_H2O.cif,dft_jobs/H2O_Ag110/POSCAR
H2S_Ag110,H2S,H2S,Ag,110,new,27,12,Ag110_H2S.cif,dft_jobs/H2S_Ag110/POSCAR
HCOOH_Ag110,HCOOH,formic_acid,Ag,110,new,29,12,Ag110_formic_acid.cif,dft_jobs/HCOOH_Ag110/POSCAR
N2_Ag110,N2,N2,Ag,110,new,26,12,Ag110_N2.cif,dft_jobs/N2_Ag110/POSCAR
NH3_Ag110,NH3,ammonia,Ag,110,new,28,12,Ag110_NH3.cif,dft_jobs/NH3_Ag110/POSCAR
NO_Ag110,NO,NO,Ag,110,new,26,12,Ag110_NO.cif,dft_jobs/NO_Ag110/POSCAR
SO2_Ag110,SO2,SO2,Ag,110,new,27,12,Ag110_SO2.cif,dft_jobs/SO2_Ag110/POSCAR
C2H4_Ag111,C2H4,ethylene,Ag,111,new,42,18,Ag111_ethylene.cif,dft_jobs/C2H4_Ag111/POSCAR
C2H6_Ag111,C2H6,ethane,Ag,111,new,72,32,Ag111_ethane.cif,dft_jobs/C2H6_Ag111/POSCAR
CH3_Ag111,CH3,methyl,Ag,111,new,40,18,Ag111_CH3.cif,dft_jobs/CH3_Ag111/POSCAR
CH3CH2OH_Ag111,CH3CH2OH,ethanol,Ag,111,new,73,32,Ag111_ethanol.cif,dft_jobs/CH3CH2OH_Ag111/POSCAR
CH3CHO_Ag111,CH3CHO,acetaldehyde,Ag,111,new,43,18,Ag111_acetaldehyde.cif,dft_jobs/CH3CHO_Ag111/POSCAR
CH3COOH_Ag111,CH3COOH,acetic_acid,Ag,111,new,44,18,Ag111_acetic_acid.cif,dft_jobs/CH3COOH_Ag111/POSCAR
CH3OCH3_Ag111,CH3OCH3,DME,Ag,111,new,45,18,Ag111_DME.cif,dft_jobs/CH3OCH3_Ag111/POSCAR
CH3OH_Ag111,CH3OH,methanol,Ag,111,new,42,18,Ag111_methanol.cif,dft_jobs/CH3OH_Ag111/POSCAR
CH4_Ag111,CH4,methane,Ag,111,new,41,18,Ag111_CH4.cif,dft_jobs/CH4_Ag111/POSCAR
CO_Ag111,CO,CO,Ag,111,new,38,18,Ag111_CO.cif,dft_jobs/CO_Ag111/POSCAR
CO2_Ag111,CO2,CO2,Ag,111,new,67,32,Ag111_CO2.cif,dft_jobs/CO2_Ag111/POSCAR
H2CO_Ag111,H2CO,formaldehyde,Ag,111,new,40,18,Ag111_formaldehyde.cif,dft_jobs/H2CO_Ag111/POSCAR
H2O_Ag111,H2O,water,Ag,111,new,39,18,Ag111_H2O.cif,dft_jobs/H2O_Ag111/POSCAR
H2S_Ag111,H2S,H2S,Ag,111,new,39,18,Ag111_H2S.cif,dft_jobs/H2S_Ag111/POSCAR
HCOOH_Ag111,HCOOH,formic_acid,Ag,111,new,41,18,Ag111_formic_acid.cif,dft_jobs/HCOOH_Ag111/POSCAR
N2_Ag111,N2,N2,Ag,111,new,38,18,Ag111_N2.cif,dft_jobs/N2_Ag111/POSCAR
NH3_Ag111,NH3,ammonia,Ag,111,new,40,18,Ag111_NH3.cif,dft_jobs/NH3_Ag111/POSCAR
NO_Ag111,NO,NO,Ag,111,new,38,18,Ag111_NO.cif,dft_jobs/NO_Ag111/POSCAR
SO2_Ag111,SO2,SO2,Ag,111,new,39,18,Ag111_SO2.cif,dft_jobs/SO2_Ag111/POSCAR
C2H4_Au100,C2H4,ethylene,Au,100,new,70,32,Au100_ethylene.cif,dft_jobs/C2H4_Au100/POSCAR
C2H6_Au100,C2H6,ethane,Au,100,new,72,32,Au100_ethane.cif,dft_jobs/C2H6_Au100/POSCAR
CH3_Au100,CH3,methyl,Au,100,new,68,32,Au100_CH3.cif,dft_jobs/CH3_Au100/POSCAR
CH3CH2OH_Au100,CH3CH2OH,ethanol,Au,100,new,73,32,Au100_ethanol.cif,dft_jobs/CH3CH2OH_Au100/POSCAR
CH3CHO_Au100,CH3CHO,acetaldehyde,Au,100,new,71,32,Au100_acetaldehyde.cif,dft_jobs/CH3CHO_Au100/POSCAR
CH3COOH_Au100,CH3COOH,acetic_acid,Au,100,new,72,32,Au100_acetic_acid.cif,dft_jobs/CH3COOH_Au100/POSCAR
CH3OCH3_Au100,CH3OCH3,DME,Au,100,new,73,32,Au100_DME.cif,dft_jobs/CH3OCH3_Au100/POSCAR
CH3OH_Au100,CH3OH,methanol,Au,100,new,70,32,Au100_methanol.cif,dft_jobs/CH3OH_Au100/POSCAR
CH4_Au100,CH4,methane,Au,100,new,69,32,Au100_CH4.cif,dft_jobs/CH4_Au100/POSCAR
CO_Au100,CO,CO,Au,100,new,66,32,Au100_CO.cif,dft_jobs/CO_Au100/POSCAR
CO2_Au100,CO2,CO2,Au,100,new,67,32,Au100_CO2.cif,dft_jobs/CO2_Au100/POSCAR
H2CO_Au100,H2CO,formaldehyde,Au,100,new,68,32,Au100_formaldehyde.cif,dft_jobs/H2CO_Au100/POSCAR
H2O_Au100,H2O,water,Au,100,new,67,32,Au100_H2O.cif,dft_jobs/H2O_Au100/POSCAR
H2S_Au100,H2S,H2S,Au,100,new,67,32,Au100_H2S.cif,dft_jobs/H2S_Au100/POSCAR
HCOOH_Au100,HCOOH,formic_acid,Au,100,new,69,32,Au100_formic_acid.cif,dft_jobs/HCOOH_Au100/POSCAR
N2_Au100,N2,N2,Au,100,new,66,32,Au100_N2.cif,dft_jobs/N2_Au100/POSCAR
NH3_Au100,NH3,ammonia,Au,100,new,68,32,Au100_NH3.cif,dft_jobs/NH3_Au100/POSCAR
NO_Au100,NO,NO,Au,100,new,66,32,Au100_NO.cif,dft_jobs/NO_Au100/POSCAR
SO2_Au100,SO2,SO2,Au,100,new,67,32,Au100_SO2.cif,dft_jobs/SO2_Au100/POSCAR
C2H4_Au110,C2H4,ethylene,Au,110,new,70,32,Au110_ethylene.cif,dft_jobs/C2H4_Au110/POSCAR
C2H6_Au110,C2H6,ethane,Au,110,new,72,32,Au110_ethane.cif,dft_jobs/C2H6_Au110/POSCAR
CH3_Au110,CH3,methyl,Au,110,new,68,32,Au110_CH3.cif,dft_jobs/CH3_Au110/POSCAR
CH3CH2OH_Au110,CH3CH2OH,ethanol,Au,110,new,73,32,Au110_ethanol.cif,dft_jobs/CH3CH2OH_Au110/POSCAR
CH3CHO_Au110,CH3CHO,acetaldehyde,Au,110,new,71,32,Au110_acetaldehyde.cif,dft_jobs/CH3CHO_Au110/POSCAR
CH3COOH_Au110,CH3COOH,acetic_acid,Au,110,new,72,32,Au110_acetic_acid.cif,dft_jobs/CH3COOH_Au110/POSCAR
CH3OCH3_Au110,CH3OCH3,DME,Au,110,new,73,32,Au110_DME.cif,dft_jobs/CH3OCH3_Au110/POSCAR
CH3OH_Au110,CH3OH,methanol,Au,110,new,70,32,Au110_methanol.cif,dft_jobs/CH3OH_Au110/POSCAR
CH4_Au110,CH4,methane,Au,110,new,69,32,Au110_CH4.cif,dft_jobs/CH4_Au110/POSCAR
CO_Au110,CO,CO,Au,110,new,66,32,Au110_CO.cif,dft_jobs/CO_Au110/POSCAR
CO2_Au110,CO2,CO2,Au,110,new,67,32,Au110_CO2.cif,dft_jobs/CO2_Au110/POSCAR
H2CO_Au110,H2CO,formaldehyde,Au,110,new,68,32,Au110_formaldehyde.cif,dft_jobs/H2CO_Au110/POSCAR
H2O_Au110,H2O,water,Au,110,new,67,32,Au110_H2O.cif,dft_jobs/H2O_Au110/POSCAR
H2S_Au110,H2S,H2S,Au,110,new,67,32,Au110_H2S.cif,dft_jobs/H2S_Au110/POSCAR
HCOOH_Au110,HCOOH,formic_acid,Au,110,new,69,32,Au110_formic_acid.cif,dft_jobs/HCOOH_Au110/POSCAR
N2_Au110,N2,N2,Au,110,new,66,32,Au110_N2.cif,dft_jobs/N2_Au110/POSCAR
NH3_Au110,NH3,ammonia,Au,110,new,68,32,Au110_NH3.cif,dft_jobs/NH3_Au110/POSCAR
NO_Au110,NO,NO,Au,110,new,66,32,Au110_NO.cif,dft_jobs/NO_Au110/POSCAR
SO2_Au110,SO2,SO2,Au,110,new,67,32,Au110_SO2.cif,dft_jobs/SO2_Au110/POSCAR
C2H4_Au111,C2H4,ethylene,Au,111,new,42,18,Au111_ethylene.cif,dft_jobs/C2H4_Au111/POSCAR
C2H6_Au111,C2H6,ethane,Au,111,new,44,18,Au111_ethane.cif,dft_jobs/C2H6_Au111/POSCAR
CH3_Au111,CH3,methyl,Au,111,new,40,18,Au111_CH3.cif,dft_jobs/CH3_Au111/POSCAR
CH3CH2OH_Au111,CH3CH2OH,ethanol,Au,111,new,45,18,Au111_ethanol.cif,dft_jobs/CH3CH2OH_Au111/POSCAR
CH3CHO_Au111,CH3CHO,acetaldehyde,Au,111,new,43,18,Au111_acetaldehyde.cif,dft_jobs/CH3CHO_Au111/POSCAR
CH3COOH_Au111,CH3COOH,acetic_acid,Au,111,new,44,18,Au111_acetic_acid.cif,dft_jobs/CH3COOH_Au111/POSCAR
CH3OCH3_Au111,CH3OCH3,DME,Au,111,new,45,18,Au111_DME.cif,dft_jobs/CH3OCH3_Au111/POSCAR
CH3OH_Au111,CH3OH,methanol,Au,111,new,42,18,Au111_methanol.cif,dft_jobs/CH3OH_Au111/POSCAR
CH4_Au111,CH4,methane,Au,111,new,41,18,Au111_CH4.cif,dft_jobs/CH4_Au111/POSCAR
CO_Au111,CO,CO,Au,111,new,38,18,Au111_CO.cif,dft_jobs/CO_Au111/POSCAR
CO2_Au111,CO2,CO2,Au,111,new,67,32,Au111_CO2.cif,dft_jobs/CO2_Au111/POSCAR
H2CO_Au111,H2CO,formaldehyde,Au,111,new,40,18,Au111_formaldehyde.cif,dft_jobs/H2CO_Au111/POSCAR
H2O_Au111,H2O,water,Au,111,new,39,18,Au111_H2O.cif,dft_jobs/H2O_Au111/POSCAR
H2S_Au111,H2S,H2S,Au,111,new,39,18,Au111_H2S.cif,dft_jobs/H2S_Au111/POSCAR
HCOOH_Au111,HCOOH,formic_acid,Au,111,new,41,18,Au111_formic_acid.cif,dft_jobs/HCOOH_Au111/POSCAR
N2_Au111,N2,N2,Au,111,new,38,18,Au111_N2.cif,dft_jobs/N2_Au111/POSCAR
NH3_Au111,NH3,ammonia,Au,111,new,40,18,Au111_NH3.cif,dft_jobs/NH3_Au111/POSCAR
NO_Au111,NO,NO,Au,111,new,38,18,Au111_NO.cif,dft_jobs/NO_Au111/POSCAR
SO2_Au111,SO2,SO2,Au,111,new,39,18,Au111_SO2.cif,dft_jobs/SO2_Au111/POSCAR
C2H4_Ir100,C2H4,ethylene,Ir,100,new,42,18,Ir100_ethylene.cif,dft_jobs/C2H4_Ir100/POSCAR
C2H6_Ir100,C2H6,ethane,Ir,100,new,44,18,Ir100_ethane.cif,dft_jobs/C2H6_Ir100/POSCAR
CH3_Ir100,CH3,methyl,Ir,100,new,40,18,Ir100_CH3_sevennet_omni.cif,dft_jobs/CH3_Ir100/POSCAR
CH3CH2OH_Ir100,CH3CH2OH,ethanol,Ir,100,new,45,18,Ir100_ethanol.cif,dft_jobs/CH3CH2OH_Ir100/POSCAR
CH3CHO_Ir100,CH3CHO,acetaldehyde,Ir,100,new,43,18,Ir100_acetaldehyde.cif,dft_jobs/CH3CHO_Ir100/POSCAR
CH3COOH_Ir100,CH3COOH,acetic_acid,Ir,100,new,44,18,Ir100_acetic_acid.cif,dft_jobs/CH3COOH_Ir100/POSCAR
CH3OCH3_Ir100,CH3OCH3,DME,Ir,100,new,45,18,Ir100_DME.cif,dft_jobs/CH3OCH3_Ir100/POSCAR
CH3OH_Ir100,CH3OH,methanol,Ir,100,new,42,18,Ir100_methanol.cif,dft_jobs/CH3OH_Ir100/POSCAR
CH4_Ir100,CH4,methane,Ir,100,new,41,18,Ir100_CH4_sevennet_omni.cif,dft_jobs/CH4_Ir100/POSCAR
CO_Ir100,CO,CO,Ir,100,new,38,18,Ir100_CO.cif,dft_jobs/CO_Ir100/POSCAR
CO2_Ir100,CO2,CO2,Ir,100,new,39,18,Ir100_CO2.cif,dft_jobs/CO2_Ir100/POSCAR
H2CO_Ir100,H2CO,formaldehyde,Ir,100,new,40,18,Ir100_formaldehyde_sevennet_omni.cif,dft_jobs/H2CO_Ir100/POSCAR
H2O_Ir100,H2O,water,Ir,100,new,39,18,Ir100_H2O.cif,dft_jobs/H2O_Ir100/POSCAR
