task_id,surface,adsorbate,seed,calculator,state,E_ads_eV,E_ads_pre_relax_eV,best_seed,run_dir,started_at,finished_at
0,Cu111,glycerol,0,sevennet_omni,finished,-0.5669174194335938,-0.5104598999023438,0,/home/jcho5/goad-global-optimization/runs/Cu111_glycerol_seed0_sevennet_omni,2026-06-19T20:18:17.788928,2026-06-19T21:29:16.005373
0,Cu111,isopropanol,0,sevennet_omni,running,-0.4146080017089844,-0.3645286560058594,0,/home/jcho5/goad-global-optimization/runs/Cu111_isopropanol_seed0_sevennet_omni,2026-06-16T12:55:35.638354,
1,Cu111,glycerol,1,sevennet_omni,finished,-0.5425338745117188,-0.49492645263671875,1,/home/jcho5/goad-global-optimization/runs/Cu111_glycerol_seed1_sevennet_omni,2026-06-19T20:18:17.789137,2026-06-19T21:27:02.873126
2,Cu111,glycerol,2,sevennet_omni,finished,-0.5746994018554688,-0.5158615112304688,2,/home/jcho5/goad-global-optimization/runs/Cu111_glycerol_seed2_sevennet_omni,2026-06-19T20:18:17.789776,2026-06-19T21:27:34.093338
3,Cu111,glycerol,3,sevennet_omni,finished,-0.5550155639648438,-0.5042343139648438,3,/home/jcho5/goad-global-optimization/runs/Cu111_glycerol_seed3_sevennet_omni,2026-06-19T20:18:17.785954,2026-06-19T21:28:23.509571
4,Cu111,glycerol,4,sevennet_omni,finished,-0.33278656005859375,-0.26583099365234375,4,/home/jcho5/goad-global-optimization/runs/Cu111_glycerol_seed4_sevennet_omni,2026-06-19T20:18:17.784137,2026-06-19T21:27:40.711564
5,Cu111,glycerol,5,sevennet_omni,finished,-0.5872421264648438,-0.5061264038085938,5,/home/jcho5/goad-global-optimization/runs/Cu111_glycerol_seed5_sevennet_omni,2026-06-19T20:18:17.786227,2026-06-19T21:27:02.876752
6,Cu111,CO2,0,sevennet_omni,running,-0.3630695343017578,-0.3608722686767578,0,/home/jcho5/goad-global-optimization/runs/Cu111_CO2_seed0_sevennet_omni,2026-06-19T19:51:53.507066,
7,Cu111,CO2,1,sevennet_omni,running,-0.3612995147705078,-0.3598957061767578,1,/home/jcho5/goad-global-optimization/runs/Cu111_CO2_seed1_sevennet_omni,2026-06-19T19:51:53.614140,
8,Cu111,CO2,2,sevennet_omni,running,-0.3611927032470703,-0.3586750030517578,2,/home/jcho5/goad-global-optimization/runs/Cu111_CO2_seed2_sevennet_omni,2026-06-19T19:51:53.511269,
9,Cu111,CO2,3,sevennet_omni,running,-0.3612537384033203,-0.3589344024658203,3,/home/jcho5/goad-global-optimization/runs/Cu111_CO2_seed3_sevennet_omni,2026-06-19T19:51:53.491987,
10,Cu111,CO2,4,sevennet_omni,running,-0.3608570098876953,-0.3586292266845703,4,/home/jcho5/goad-global-optimization/runs/Cu111_CO2_seed4_sevennet_omni,2026-06-19T19:51:53.554219,
11,Cu111,CO2,5,sevennet_omni,running,-0.3627796173095703,-0.3604907989501953,5,/home/jcho5/goad-global-optimization/runs/Cu111_CO2_seed5_sevennet_omni,2026-06-19T19:51:53.503306,
12,Cu111,ethanol,0,sevennet_omni,running,-0.3374443054199219,-0.2984123229980469,0,/home/jcho5/goad-global-optimization/runs/Cu111_ethanol_seed0_sevennet_omni,2026-06-19T19:51:53.486519,
12,Cu111,propanol,0,sevennet_omni,finished,-0.31922149658203125,-0.30976104736328125,0,/home/jcho5/goad-global-optimization/runs/Cu111_propanol_seed0_sevennet_omni,2026-06-19T20:18:17.784638,2026-06-19T21:12:33.277868
13,Cu111,ethanol,1,sevennet_omni,running,-0.3445625305175781,-0.3062934875488281,1,/home/jcho5/goad-global-optimization/runs/Cu111_ethanol_seed1_sevennet_omni,2026-06-19T19:51:53.509920,
13,Cu111,propanol,1,sevennet_omni,finished,-0.41205596923828125,-0.31864166259765625,1,/home/jcho5/goad-global-optimization/runs/Cu111_propanol_seed1_sevennet_omni,2026-06-19T20:18:17.784992,2026-06-19T21:10:25.342049
