task_id,surface,adsorbate,seed,calculator
0,Cu111,isopropanol,0,sevennet_omni
1,Cu111,isopropanol,1,sevennet_omni
2,Cu111,isopropanol,2,sevennet_omni
3,Cu111,CO2,0,sevennet_omni
4,Cu111,CO2,1,sevennet_omni
5,Cu111,CO2,2,sevennet_omni
6,Cu111,ethanol,0,sevennet_omni
7,Cu111,ethanol,1,sevennet_omni
8,Cu111,ethanol,2,sevennet_omni
9,Cu111,ethene,0,sevennet_omni
10,Cu111,ethene,1,sevennet_omni
11,Cu111,ethene,2,sevennet_omni
12,Cu111,ethane,0,sevennet_omni
13,Cu111,ethane,1,sevennet_omni
14,Cu111,ethane,2,sevennet_omni
15,Cu111,propane,0,sevennet_omni
16,Cu111,propane,1,sevennet_omni
17,Cu111,propane,2,sevennet_omni
18,Cu111,propene,0,sevennet_omni
19,Cu111,propene,1,sevennet_omni
20,Cu111,propene,2,sevennet_omni
21,Cu111,propanol,0,sevennet_omni
22,Cu111,propanol,1,sevennet_omni
23,Cu111,propanol,2,sevennet_omni
24,Cu111,glycerol,0,sevennet_omni
25,Cu111,glycerol,1,sevennet_omni
26,Cu111,glycerol,2,sevennet_omni
27,Cu110,isopropanol,0,sevennet_omni
28,Cu110,isopropanol,1,sevennet_omni
29,Cu110,isopropanol,2,sevennet_omni
30,Cu110,CO2,0,sevennet_omni
31,Cu110,CO2,1,sevennet_omni
32,Cu110,CO2,2,sevennet_omni
33,Cu110,ethanol,0,sevennet_omni
34,Cu110,ethanol,1,sevennet_omni
35,Cu110,ethanol,2,sevennet_omni
36,Cu110,ethene,0,sevennet_omni
37,Cu110,ethene,1,sevennet_omni
38,Cu110,ethene,2,sevennet_omni
39,Cu110,ethane,0,sevennet_omni
40,Cu110,ethane,1,sevennet_omni
41,Cu110,ethane,2,sevennet_omni
42,Cu110,propane,0,sevennet_omni
43,Cu110,propane,1,sevennet_omni
44,Cu110,propane,2,sevennet_omni
45,Cu110,propene,0,sevennet_omni
46,Cu110,propene,1,sevennet_omni
47,Cu110,propene,2,sevennet_omni
48,Cu110,propanol,0,sevennet_omni
49,Cu110,propanol,1,sevennet_omni
50,Cu110,propanol,2,sevennet_omni
51,Cu110,glycerol,0,sevennet_omni
52,Cu110,glycerol,1,sevennet_omni
53,Cu110,glycerol,2,sevennet_omni
54,Cu001,isopropanol,0,sevennet_omni
55,Cu001,isopropanol,1,sevennet_omni
56,Cu001,isopropanol,2,sevennet_omni
57,Cu001,CO2,0,sevennet_omni
58,Cu001,CO2,1,sevennet_omni
59,Cu001,CO2,2,sevennet_omni
60,Cu001,ethanol,0,sevennet_omni
61,Cu001,ethanol,1,sevennet_omni
62,Cu001,ethanol,2,sevennet_omni
63,Cu001,ethene,0,sevennet_omni
64,Cu001,ethene,1,sevennet_omni
65,Cu001,ethene,2,sevennet_omni
66,Cu001,ethane,0,sevennet_omni
67,Cu001,ethane,1,sevennet_omni
68,Cu001,ethane,2,sevennet_omni
69,Cu001,propane,0,sevennet_omni
70,Cu001,propane,1,sevennet_omni
71,Cu001,propane,2,sevennet_omni
72,Cu001,propene,0,sevennet_omni
73,Cu001,propene,1,sevennet_omni
74,Cu001,propene,2,sevennet_omni
75,Cu001,propanol,0,sevennet_omni
76,Cu001,propanol,1,sevennet_omni
77,Cu001,propanol,2,sevennet_omni
78,Cu001,glycerol,0,sevennet_omni
79,Cu001,glycerol,1,sevennet_omni
80,Cu001,glycerol,2,sevennet_omni
81,Pt111,isopropanol,0,sevennet_omni
82,Pt111,isopropanol,1,sevennet_omni
83,Pt111,isopropanol,2,sevennet_omni
84,Pt111,CO2,0,sevennet_omni
85,Pt111,CO2,1,sevennet_omni
86,Pt111,CO2,2,sevennet_omni
87,Pt111,ethanol,0,sevennet_omni
88,Pt111,ethanol,1,sevennet_omni
89,Pt111,ethanol,2,sevennet_omni
90,Pt111,ethene,0,sevennet_omni
91,Pt111,ethene,1,sevennet_omni
92,Pt111,ethene,2,sevennet_omni
93,Pt111,ethane,0,sevennet_omni
94,Pt111,ethane,1,sevennet_omni
95,Pt111,ethane,2,sevennet_omni
96,Pt111,propane,0,sevennet_omni
97,Pt111,propane,1,sevennet_omni
98,Pt111,propane,2,sevennet_omni
99,Pt111,propene,0,sevennet_omni
100,Pt111,propene,1,sevennet_omni
101,Pt111,propene,2,sevennet_omni
102,Pt111,propanol,0,sevennet_omni
103,Pt111,propanol,1,sevennet_omni
104,Pt111,propanol,2,sevennet_omni
105,Pt111,glycerol,0,sevennet_omni
106,Pt111,glycerol,1,sevennet_omni
107,Pt111,glycerol,2,sevennet_omni
108,Pt110,isopropanol,0,sevennet_omni
109,Pt110,isopropanol,1,sevennet_omni
110,Pt110,isopropanol,2,sevennet_omni
111,Pt110,CO2,0,sevennet_omni
112,Pt110,CO2,1,sevennet_omni
113,Pt110,CO2,2,sevennet_omni
114,Pt110,ethanol,0,sevennet_omni
115,Pt110,ethanol,1,sevennet_omni
116,Pt110,ethanol,2,sevennet_omni
117,Pt110,ethene,0,sevennet_omni
118,Pt110,ethene,1,sevennet_omni
119,Pt110,ethene,2,sevennet_omni
120,Pt110,ethane,0,sevennet_omni
121,Pt110,ethane,1,sevennet_omni
122,Pt110,ethane,2,sevennet_omni
123,Pt110,propane,0,sevennet_omni
124,Pt110,propane,1,sevennet_omni
125,Pt110,propane,2,sevennet_omni
126,Pt110,propene,0,sevennet_omni
