task_id,surface,adsorbate,seed,calculator,population_size,generations,n_carbon
0,Ag100,1-butanol,1,sevennet_omni,60,200,4
1,Ag100,1-butanol,2,sevennet_omni,60,200,4
2,Ag100,1-butanol,3,sevennet_omni,60,200,4
3,Ag100,1-butanol,4,sevennet_omni,60,200,4
4,Ag100,1-butanol,5,sevennet_omni,60,200,4
5,Ag100,1-butanol,6,sevennet_omni,60,200,4
6,Ag100,1-butanol,1,5m,60,200,4
7,Ag100,1-butanol,2,5m,60,200,4
8,Ag100,1-butanol,3,5m,60,200,4
9,Ag100,1-butanol,4,5m,60,200,4
10,Ag100,1-butanol,5,5m,60,200,4
11,Ag100,1-butanol,6,5m,60,200,4
12,Ag100,1-butene,1,sevennet_omni,60,200,4
13,Ag100,1-butene,2,sevennet_omni,60,200,4
14,Ag100,1-butene,3,sevennet_omni,60,200,4
15,Ag100,1-butene,4,sevennet_omni,60,200,4
16,Ag100,1-butene,5,sevennet_omni,60,200,4
17,Ag100,1-butene,6,sevennet_omni,60,200,4
18,Ag100,1-butene,1,5m,60,200,4
19,Ag100,1-butene,2,5m,60,200,4
20,Ag100,1-butene,3,5m,60,200,4
21,Ag100,1-butene,4,5m,60,200,4
22,Ag100,1-butene,5,5m,60,200,4
23,Ag100,1-butene,6,5m,60,200,4
24,Ag100,1-pentene,1,sevennet_omni,60,200,5
25,Ag100,1-pentene,2,sevennet_omni,60,200,5
26,Ag100,1-pentene,3,sevennet_omni,60,200,5
27,Ag100,1-pentene,4,sevennet_omni,60,200,5
28,Ag100,1-pentene,5,sevennet_omni,60,200,5
29,Ag100,1-pentene,6,sevennet_omni,60,200,5
30,Ag100,1-pentene,1,5m,60,200,5
31,Ag100,1-pentene,2,5m,60,200,5
32,Ag100,1-pentene,3,5m,60,200,5
33,Ag100,1-pentene,4,5m,60,200,5
34,Ag100,1-pentene,5,5m,60,200,5
35,Ag100,1-pentene,6,5m,60,200,5
36,Ag100,2-butanol,1,sevennet_omni,60,200,4
37,Ag100,2-butanol,2,sevennet_omni,60,200,4
38,Ag100,2-butanol,3,sevennet_omni,60,200,4
39,Ag100,2-butanol,4,sevennet_omni,60,200,4
40,Ag100,2-butanol,5,sevennet_omni,60,200,4
41,Ag100,2-butanol,6,sevennet_omni,60,200,4
42,Ag100,2-butanol,1,5m,60,200,4
43,Ag100,2-butanol,2,5m,60,200,4
44,Ag100,2-butanol,3,5m,60,200,4
45,Ag100,2-butanol,4,5m,60,200,4
46,Ag100,2-butanol,5,5m,60,200,4
47,Ag100,2-butanol,6,5m,60,200,4
48,Ag100,2-butene,1,sevennet_omni,60,200,4
49,Ag100,2-butene,2,sevennet_omni,60,200,4
50,Ag100,2-butene,3,sevennet_omni,60,200,4
51,Ag100,2-butene,4,sevennet_omni,60,200,4
52,Ag100,2-butene,5,sevennet_omni,60,200,4
53,Ag100,2-butene,6,sevennet_omni,60,200,4
54,Ag100,2-butene,1,5m,60,200,4
55,Ag100,2-butene,2,5m,60,200,4
56,Ag100,2-butene,3,5m,60,200,4
57,Ag100,2-butene,4,5m,60,200,4
58,Ag100,2-butene,5,5m,60,200,4
59,Ag100,2-butene,6,5m,60,200,4
60,Ag100,2-heptanone,1,sevennet_omni,60,200,7
61,Ag100,2-heptanone,2,sevennet_omni,60,200,7
62,Ag100,2-heptanone,3,sevennet_omni,60,200,7
63,Ag100,2-heptanone,4,sevennet_omni,60,200,7
64,Ag100,2-heptanone,5,sevennet_omni,60,200,7
65,Ag100,2-heptanone,6,sevennet_omni,60,200,7
66,Ag100,2-heptanone,1,5m,60,200,7
