task_id,surface,adsorbate,seed,calculator,population_size,generations,n_carbon
0,Ag100,acetylene,1,sevennet_omni,60,200,2
1,Ag100,acetylene,2,sevennet_omni,60,200,2
2,Ag110,acetylene,1,sevennet_omni,60,200,2
3,Ag110,acetylene,2,sevennet_omni,60,200,2
4,Ag111,acetylene,1,sevennet_omni,60,200,2
5,Ag111,acetylene,2,sevennet_omni,60,200,2
6,Au100,acetylene,1,sevennet_omni,60,200,2
7,Au100,acetylene,2,sevennet_omni,60,200,2
8,Au110,acetylene,1,sevennet_omni,60,200,2
9,Au110,acetylene,2,sevennet_omni,60,200,2
10,Au111,acetylene,1,sevennet_omni,60,200,2
11,Au111,acetylene,2,sevennet_omni,60,200,2
12,Cu100,acetylene,1,sevennet_omni,60,200,2
13,Cu100,acetylene,2,sevennet_omni,60,200,2
14,Cu110,acetylene,1,sevennet_omni,60,200,2
15,Cu110,acetylene,2,sevennet_omni,60,200,2
16,Cu111,acetylene,1,sevennet_omni,60,200,2
17,Cu111,acetylene,2,sevennet_omni,60,200,2
18,Ir100,acetylene,1,sevennet_omni,60,200,2
19,Ir100,acetylene,2,sevennet_omni,60,200,2
20,Ir110,acetylene,1,sevennet_omni,60,200,2
21,Ir110,acetylene,2,sevennet_omni,60,200,2
22,Ir111,acetylene,1,sevennet_omni,60,200,2
23,Ir111,acetylene,2,sevennet_omni,60,200,2
24,Pd100,acetylene,1,sevennet_omni,60,200,2
25,Pd100,acetylene,2,sevennet_omni,60,200,2
26,Pd110,acetylene,1,sevennet_omni,60,200,2
27,Pd110,acetylene,2,sevennet_omni,60,200,2
28,Pd111,acetylene,1,sevennet_omni,60,200,2
29,Pd111,acetylene,2,sevennet_omni,60,200,2
30,Pt100,acetylene,1,sevennet_omni,60,200,2
31,Pt100,acetylene,2,sevennet_omni,60,200,2
32,Pt110,acetylene,1,sevennet_omni,60,200,2
33,Pt110,acetylene,2,sevennet_omni,60,200,2
34,Pt111,acetylene,1,sevennet_omni,60,200,2
35,Pt111,acetylene,2,sevennet_omni,60,200,2
36,Rh100,acetylene,1,sevennet_omni,60,200,2
37,Rh100,acetylene,2,sevennet_omni,60,200,2
38,Rh110,acetylene,1,sevennet_omni,60,200,2
39,Rh110,acetylene,2,sevennet_omni,60,200,2
40,Rh111,acetylene,1,sevennet_omni,60,200,2
41,Rh111,acetylene,2,sevennet_omni,60,200,2
42,Ag100,HCN,1,sevennet_omni,60,200,1
43,Ag100,HCN,2,sevennet_omni,60,200,1
44,Ag110,HCN,1,sevennet_omni,60,200,1
45,Ag110,HCN,2,sevennet_omni,60,200,1
46,Ag111,HCN,1,sevennet_omni,60,200,1
47,Ag111,HCN,2,sevennet_omni,60,200,1
48,Au100,HCN,1,sevennet_omni,60,200,1
49,Au100,HCN,2,sevennet_omni,60,200,1
50,Au110,HCN,1,sevennet_omni,60,200,1
51,Au110,HCN,2,sevennet_omni,60,200,1
52,Au111,HCN,1,sevennet_omni,60,200,1
53,Au111,HCN,2,sevennet_omni,60,200,1
54,Cu100,HCN,1,sevennet_omni,60,200,1
55,Cu100,HCN,2,sevennet_omni,60,200,1
56,Cu110,HCN,1,sevennet_omni,60,200,1
57,Cu110,HCN,2,sevennet_omni,60,200,1
58,Cu111,HCN,1,sevennet_omni,60,200,1
59,Cu111,HCN,2,sevennet_omni,60,200,1
60,Ir100,HCN,1,sevennet_omni,60,200,1
61,Ir100,HCN,2,sevennet_omni,60,200,1
62,Ir110,HCN,1,sevennet_omni,60,200,1
63,Ir110,HCN,2,sevennet_omni,60,200,1
64,Ir111,HCN,1,sevennet_omni,60,200,1
65,Ir111,HCN,2,sevennet_omni,60,200,1
66,Pd100,HCN,1,sevennet_omni,60,200,1
67,Pd100,HCN,2,sevennet_omni,60,200,1
68,Pd110,HCN,1,sevennet_omni,60,200,1
69,Pd110,HCN,2,sevennet_omni,60,200,1
70,Pd111,HCN,1,sevennet_omni,60,200,1
71,Pd111,HCN,2,sevennet_omni,60,200,1
72,Pt100,HCN,1,sevennet_omni,60,200,1
73,Pt100,HCN,2,sevennet_omni,60,200,1
74,Pt110,HCN,1,sevennet_omni,60,200,1
75,Pt110,HCN,2,sevennet_omni,60,200,1
76,Pt111,HCN,1,sevennet_omni,60,200,1
77,Pt111,HCN,2,sevennet_omni,60,200,1
78,Rh100,HCN,1,sevennet_omni,60,200,1
79,Rh100,HCN,2,sevennet_omni,60,200,1
80,Rh110,HCN,1,sevennet_omni,60,200,1
81,Rh110,HCN,2,sevennet_omni,60,200,1
82,Rh111,HCN,1,sevennet_omni,60,200,1
83,Rh111,HCN,2,sevennet_omni,60,200,1
84,Ag100,methoxy,1,sevennet_omni,60,200,1
85,Ag100,methoxy,2,sevennet_omni,60,200,1
86,Ag110,methoxy,1,sevennet_omni,60,200,1
87,Ag110,methoxy,2,sevennet_omni,60,200,1
88,Ag111,methoxy,1,sevennet_omni,60,200,1
89,Ag111,methoxy,2,sevennet_omni,60,200,1
90,Au100,methoxy,1,sevennet_omni,60,200,1
91,Au100,methoxy,2,sevennet_omni,60,200,1
92,Au110,methoxy,1,sevennet_omni,60,200,1
93,Au110,methoxy,2,sevennet_omni,60,200,1
94,Au111,methoxy,1,sevennet_omni,60,200,1
95,Au111,methoxy,2,sevennet_omni,60,200,1
96,Cu100,methoxy,1,sevennet_omni,60,200,1
97,Cu100,methoxy,2,sevennet_omni,60,200,1
98,Cu110,methoxy,1,sevennet_omni,60,200,1
99,Cu110,methoxy,2,sevennet_omni,60,200,1
100,Cu111,methoxy,1,sevennet_omni,60,200,1
101,Cu111,methoxy,2,sevennet_omni,60,200,1
102,Ir100,methoxy,1,sevennet_omni,60,200,1
103,Ir100,methoxy,2,sevennet_omni,60,200,1
104,Ir110,methoxy,1,sevennet_omni,60,200,1
105,Ir110,methoxy,2,sevennet_omni,60,200,1
106,Ir111,methoxy,1,sevennet_omni,60,200,1
107,Ir111,methoxy,2,sevennet_omni,60,200,1
108,Pd100,methoxy,1,sevennet_omni,60,200,1
109,Pd100,methoxy,2,sevennet_omni,60,200,1
110,Pd110,methoxy,1,sevennet_omni,60,200,1
111,Pd110,methoxy,2,sevennet_omni,60,200,1
112,Pd111,methoxy,1,sevennet_omni,60,200,1
113,Pd111,methoxy,2,sevennet_omni,60,200,1
114,Pt100,methoxy,1,sevennet_omni,60,200,1
115,Pt100,methoxy,2,sevennet_omni,60,200,1
116,Pt110,methoxy,1,sevennet_omni,60,200,1
117,Pt110,methoxy,2,sevennet_omni,60,200,1
118,Pt111,methoxy,1,sevennet_omni,60,200,1
119,Pt111,methoxy,2,sevennet_omni,60,200,1
120,Rh100,methoxy,1,sevennet_omni,60,200,1
121,Rh100,methoxy,2,sevennet_omni,60,200,1
122,Rh110,methoxy,1,sevennet_omni,60,200,1
123,Rh110,methoxy,2,sevennet_omni,60,200,1
124,Rh111,methoxy,1,sevennet_omni,60,200,1
125,Rh111,methoxy,2,sevennet_omni,60,200,1
126,Ag100,hydroxyl,1,sevennet_omni,60,200,0
127,Ag100,hydroxyl,2,sevennet_omni,60,200,0
128,Ag110,hydroxyl,1,sevennet_omni,60,200,0
129,Ag110,hydroxyl,2,sevennet_omni,60,200,0
130,Ag111,hydroxyl,1,sevennet_omni,60,200,0
131,Ag111,hydroxyl,2,sevennet_omni,60,200,0
132,Au100,hydroxyl,1,sevennet_omni,60,200,0
133,Au100,hydroxyl,2,sevennet_omni,60,200,0
134,Au110,hydroxyl,1,sevennet_omni,60,200,0
135,Au110,hydroxyl,2,sevennet_omni,60,200,0
136,Au111,hydroxyl,1,sevennet_omni,60,200,0
137,Au111,hydroxyl,2,sevennet_omni,60,200,0
138,Cu100,hydroxyl,1,sevennet_omni,60,200,0
139,Cu100,hydroxyl,2,sevennet_omni,60,200,0
140,Cu110,hydroxyl,1,sevennet_omni,60,200,0
141,Cu110,hydroxyl,2,sevennet_omni,60,200,0
142,Cu111,hydroxyl,1,sevennet_omni,60,200,0
143,Cu111,hydroxyl,2,sevennet_omni,60,200,0
144,Ir100,hydroxyl,1,sevennet_omni,60,200,0
145,Ir100,hydroxyl,2,sevennet_omni,60,200,0
146,Ir110,hydroxyl,1,sevennet_omni,60,200,0
147,Ir110,hydroxyl,2,sevennet_omni,60,200,0
148,Ir111,hydroxyl,1,sevennet_omni,60,200,0
149,Ir111,hydroxyl,2,sevennet_omni,60,200,0
150,Pd100,hydroxyl,1,sevennet_omni,60,200,0
151,Pd100,hydroxyl,2,sevennet_omni,60,200,0
152,Pd110,hydroxyl,1,sevennet_omni,60,200,0
